track_id,name,album_id,media_type_id,genre_id,composer,milliseconds,bytes,unit_price
1,For Those About To Rock (We Salute You),1,1,1,Angus Young Malcolm Young Brian Johnson,343719,11170334,0.99
2,Balls to the Wall,2,2,1,,342562,5510424,0.99
3,Fast As a Shark,3,2,1,F. Baltes S. Kaufman U. Dirkscneider A. Hoffman,230619,3990994,0.99
4,Restless and Wild,3,2,1,F. Baltes R.A. Smith-Diesel U. Dirkscneider A. Hoffman,252051,4331779,0.99
5,Princess of the Dawn,3,2,1,Deaffy D. Stahl G. Hoffmann H. Rüdiger,375418,6290521,0.99
6,Put The Finger On You,1,1,1,Angus Young Malcolm Young Brian Johnson,205662,6713451,0.99
7,Let's Get It Up,1,1,1,Angus Young Malcolm Young Brian Johnson,233926,7636561,0.99
8,Inject The Venom,1,1,1,Angus Young Malcolm Young Brian Johnson,210834,6852860,0.99
9,Snowballed,1,1,1,Angus Young Malcolm Young Brian Johnson,203102,6599424,0.99
10,Evil Walks,1,1,1,Angus Young Malcolm Young Brian Johnson,263497,8611245,0.99
11,C.O.D.,1,1,1,Angus Young Malcolm Young Brian Johnson,199836,6566314,0.99
12,Breaking The Rules,1,1,1,Angus Young Malcolm Young Brian Johnson,263288,8596840,0.99
13,Night Of The Long Knives,1,1,1,Angus Young Malcolm Young Brian Johnson,205688,6706347,0.99
14,Spellbound,1,1,1,Angus Young Malcolm Young Brian Johnson,270863,8857282,0.99
15,Go Down,4,1,1,AC/DC,215588,7019500,0.99
16,Dog Eat Dog,4,1,1,AC/DC,218592,7106085,0.99
17,Let There Be Rock,4,1,1,AC/DC,366654,12174989,0.99
18,Bad Boy Boogie,4,1,1,AC/DC,267728,8776140,0.99
19,Problem Child,4,1,1,AC/DC,325041,10617116,0.99
20,Overdose,4,1,1,AC/DC,373263,12227920,0.99
21,Hell Ain't A Bad Place To Be,4,1,1,AC/DC,257567,8395670,0.99
22,Whole Lotta Rosie,4,1,1,AC/DC,322768,10547154,0.99
23,Walk On Water,5,1,1,Steven Tyler Joe Perry Jack Blades,295680,9719579,0.99
24,Love In An Elevator,5,1,1,Steven Tyler Joe Perry,321828,10552051,0.99
25,Rag Doll,5,1,1,Steven Tyler Joe Perry Jim Vallance,264698,8675345,0.99
